Sample,Time(S),CH1(V),CH2(V)
429,-7.763,0.113025,-0.0732059
430,-7.762,0.113025,-0.0732059
431,-7.761,0.113025,-0.0732059
432,-7.76,0.113025,-0.0732059
433,-7.759,0.113025,-0.0732059
434,-7.758,0.113025,-0.0732059
435,-7.757,0.113025,-0.0732059
436,-7.756,0.113025,-0.0732059
437,-7.755,0.113025,-0.0732059
438,-7.754,0.113025,-0.0732059
439,-7.753,0.113025,-0.0732059
440,-7.752,0.113025,-0.0732059
441,-7.751,0.113025,-0.0732059
442,-7.75,0.113025,-0.0732059
443,-7.749,0.113025,-0.0732059
444,-7.748,0.113025,-0.0732059
445,-7.747,0.113025,-0.0732059
446,-7.746,0.113025,-0.0732059
447,-7.745,0.113025,-0.0732059
448,-7.744,0.113025,-0.0732059
449,-7.743,0.113025,-0.0732059
450,-7.742,0.113025,-0.0732059
451,-7.741,0.113025,-0.0732059
452,-7.74,0.113025,-0.0732059
453,-7.739,0.113025,-0.0732059
454,-7.738,0.113025,-0.0732059
455,-7.737,0.113025,-0.0732059
456,-7.736,0.113025,-0.0732059
457,-7.735,0.113025,-0.0732059
458,-7.734,0.113025,-0.0732059
459,-7.733,0.113025,-0.0732059
460,-7.732,0.113025,-0.0732059
461,-7.731,0.113025,-0.0732059
462,-7.73,0.113025,-0.0732059
463,-7.729,0.113025,-0.0732059
464,-7.728,0.113025,-0.0732059
465,-7.727,0.113025,-0.0732059
466,-7.726,0.113025,-0.0732059
467,-7.725,0.113025,-0.0732059
468,-7.724,0.113025,-0.0732059
469,-7.723,0.113025,-0.0732059
470,-7.722,0.113025,-0.0732059
471,-7.721,0.113025,-0.0732059
472,-7.72,0.113025,-0.0732059
473,-7.719,0.113025,-0.0732059
474,-7.718,0.113025,-0.0732059
475,-7.717,0.113025,-0.0732059
476,-7.716,0.113025,-0.0732059
477,-7.715,0.113025,-0.0732059
478,-7.714,0.113025,-0.0732059
479,-7.713,0.113025,-0.0732059
480,-7.712,0.113025,-0.0732059
481,-7.711,0.113025,-0.0732059
482,-7.71,0.113025,-0.0732059
483,-7.709,0.113025,-0.0732059
484,-7.708,0.113025,-0.0732059
485,-7.707,0.113025,-0.0732059
486,-7.706,0.113025,-0.0732059
487,-7.705,0.113025,-0.0732059
488,-7.704,0.113025,-0.0732059
489,-7.703,0.113025,-0.0732059
490,-7.702,0.113025,-0.0732059
491,-7.701,0.113025,-0.0732059
492,-7.7,0.113025,-0.0732059
493,-7.699,0.113025,-0.0732059
494,-7.698,0.113025,-0.0732059
495,-7.697,0.113025,-0.0732059
496,-7.696,0.113025,-0.0732059
497,-7.695,0.113025,-0.0732059
498,-7.694,0.113025,-0.0732059
499,-7.693,0.113025,-0.0732059
500,-7.692,0.113025,-0.0732059
501,-7.691,0.113025,-0.0732059
502,-7.69,0.113025,-0.0732059
503,-7.689,0.113025,-0.0732059
504,-7.688,0.113025,-0.0732059
505,-7.687,0.113025,-0.0732059
506,-7.686,0.113025,-0.0732059
507,-7.685,0.113025,-0.0732059
508,-7.684,0.113025,-0.0732059
509,-7.683,0.113025,-0.0732059
510,-7.682,0.113025,-0.0732059
511,-7.681,0.113025,-0.0732059
512,-7.68,0.113025,-0.0732059
513,-7.679,0.113025,-0.0732059
514,-7.678,0.113025,-0.0732059
515,-7.677,0.113025,-0.0732059
516,-7.676,0.113025,-0.0732059
517,-7.675,0.113025,-0.0732059
518,-7.674,0.113025,-0.0732059
519,-7.673,0.113025,-0.0732059
520,-7.672,0.113025,-0.0732059
521,-7.671,0.113025,-0.0732059
522,-7.67,0.113025,-0.0732059
523,-7.669,0.113025,-0.0732059
524,-7.668,0.113025,-0.0732059
525,-7.667,0.113025,-0.0732059
526,-7.666,0.113025,-0.0732059
527,-7.665,0.113025,-0.0732059
528,-7.664,0.113025,-0.0732059
529,-7.663,0.113025,-0.0732059
530,-7.662,0.113025,-0.0732059
531,-7.661,0.113025,-0.0732059
532,-7.66,0.113025,-0.0732059
533,-7.659,0.113025,-0.0732059
534,-7.658,0.113025,-0.0732059
535,-7.657,0.113025,-0.0732059
536,-7.656,0.113025,-0.0732059
537,-7.655,0.113025,-0.0732059
538,-7.654,0.113025,-0.0732059
539,-7.653,0.113025,-0.0732059
540,-7.652,0.113025,-0.0732059
541,-7.651,0.113025,-0.0732059
542,-7.65,0.113025,-0.0732059
543,-7.649,0.113025,-0.0732059
544,-7.648,0.113025,-0.0732059
545,-7.647,0.113025,-0.0732059
546,-7.646,0.113025,-0.0732059
547,-7.645,0.113025,-0.0732059
548,-7.644,0.113025,-0.0732059
549,-7.643,0.113025,-0.0732059
550,-7.642,0.113025,-0.0732059
551,-7.641,0.113025,-0.0732059
552,-7.64,0.113025,-0.0732059
553,-7.639,0.113025,-0.0732059
554,-7.638,0.113025,-0.0732059
555,-7.637,0.113025,-0.0732059
556,-7.636,0.113025,-0.0732059
557,-7.635,0.113025,-0.0732059
558,-7.634,0.113025,-0.0732059
559,-7.633,0.113025,-0.0732059
560,-7.632,0.113025,-0.0732059
561,-7.631,0.113025,-0.0732059
562,-7.63,0.113025,-0.0732059
563,-7.629,0.113025,-0.0732059
564,-7.628,0.113025,-0.0732059
565,-7.627,0.113025,-0.0732059
566,-7.626,0.113025,-0.0732059
567,-7.625,0.113025,-0.0732059
568,-7.624,0.113025,-0.0732059
569,-7.623,0.113025,-0.0732059
570,-7.622,0.113025,-0.0732059
571,-7.621,0.113025,-0.0732059
572,-7.62,0.113025,-0.0732059
573,-7.619,0.113025,-0.0732059
574,-7.618,0.113025,-0.0732059
575,-7.617,0.113025,-0.0732059
576,-7.616,0.113025,-0.0732059
577,-7.615,0.113025,-0.0732059
578,-7.614,0.113025,-0.0732059
579,-7.613,0.113025,-0.0732059
580,-7.612,0.113025,-0.0732059
581,-7.611,0.113025,-0.0732059
582,-7.61,0.113025,-0.0732059
583,-7.609,0.113025,-0.0732059
584,-7.608,0.113025,-0.0732059
585,-7.607,0.113025,-0.0732059
586,-7.606,0.113025,-0.0732059
587,-7.605,0.113025,-0.0732059
588,-7.604,0.113025,-0.0732059
589,-7.603,0.113025,-0.0732059
590,-7.602,0.113025,-0.0732059
591,-7.601,0.113025,-0.0732059
592,-7.6,0.113025,-0.0732059
593,-7.599,0.113025,-0.0732059
594,-7.598,0.113025,-0.0732059
595,-7.597,0.113025,-0.0732059
596,-7.596,0.113025,-0.0732059
597,-7.595,0.113025,-0.0732059
598,-7.594,0.113025,-0.0732059
599,-7.593,0.113025,-0.0732059
600,-7.592,0.113025,-0.0732059
601,-7.591,0.113025,-0.0732059
602,-7.59,0.113025,-0.0732059
603,-7.589,0.113025,-0.0732059
604,-7.588,0.113025,-0.0732059
605,-7.587,0.113025,-0.0732059
606,-7.586,0.113025,-0.0732059
607,-7.585,0.113025,-0.0732059
608,-7.584,0.113025,-0.0732059
609,-7.583,0.113025,-0.0732059
610,-7.582,0.113025,-0.0732059
611,-7.581,0.113025,-0.0732059
612,-7.58,0.113025,-0.0732059
613,-7.579,0.113025,-0.0732059
614,-7.578,0.113025,-0.0732059
615,-7.577,0.113025,-0.0732059
616,-7.576,0.113025,-0.0732059
617,-7.575,0.113025,-0.0732059
618,-7.574,0.113025,-0.0732059
619,-7.573,0.113025,-0.0732059
620,-7.572,0.113025,-0.0732059
621,-7.571,0.113025,-0.0732059
622,-7.57,0.113025,-0.0732059
623,-7.569,0.113025,-0.0732059
624,-7.568,0.113025,-0.0732059
625,-7.567,0.113025,-0.0732059
626,-7.566,0.113025,-0.0732059
627,-7.565,0.113025,-0.0732059
