Sample,Time(S),CH1(V),CH2(V)
626,-7.374,0.113025,-0.0732059
627,-7.373,0.113025,-0.0732059
628,-7.372,0.113025,-0.0732059
629,-7.371,0.113025,-0.0732059
630,-7.37,0.113025,-0.0732059
631,-7.369,0.113025,-0.0732059
632,-7.368,0.113025,-0.0732059
633,-7.367,0.113025,-0.0732059
634,-7.366,0.113025,-0.0549044
635,-7.365,0.113025,-0.0549044
636,-7.364,0.113025,-0.0549044
637,-7.363,0.113025,-0.0549044
638,-7.362,0.113025,-0.0732059
639,-7.361,0.113025,-0.0732059
640,-7.36,0.113025,-0.0732059
641,-7.359,0.113025,-0.0732059
642,-7.358,0.113025,-0.0732059
643,-7.357,0.113025,-0.0732059
644,-7.356,0.113025,-0.0732059
645,-7.355,0.113025,-0.0732059
646,-7.354,0.113025,-0.0732059
647,-7.353,0.113025,-0.0732059
648,-7.352,0.113025,-0.0732059
649,-7.351,0.113025,-0.0732059
650,-7.35,0.113025,-0.0732059
651,-7.349,0.113025,-0.0732059
652,-7.348,0.113025,-0.0732059
653,-7.347,0.113025,-0.0732059
654,-7.346,0.113025,-0.0732059
655,-7.345,0.113025,-0.0732059
656,-7.344,0.113025,-0.0732059
657,-7.343,0.113025,-0.0732059
658,-7.342,0.113025,-0.0732059
659,-7.341,0.113025,-0.0732059
660,-7.34,0.113025,-0.0732059
661,-7.339,0.113025,-0.0732059
662,-7.338,0.113025,-0.0732059
663,-7.337,0.113025,-0.0732059
664,-7.336,0.113025,-0.0732059
665,-7.335,0.113025,-0.0732059
666,-7.334,0.113025,-0.0732059
667,-7.333,0.113025,-0.0732059
668,-7.332,0.113025,-0.0732059
669,-7.331,0.113025,-0.0732059
670,-7.33,0.113025,-0.0732059
671,-7.329,0.113025,-0.0732059
672,-7.328,0.113025,-0.0732059
673,-7.327,0.113025,-0.0732059
674,-7.326,0.113025,-0.0732059
675,-7.325,0.113025,-0.0732059
676,-7.324,0.113025,-0.0732059
677,-7.323,0.113025,-0.0732059
678,-7.322,0.113025,-0.0732059
679,-7.321,0.113025,-0.0732059
680,-7.32,0.113025,-0.0732059
681,-7.319,0.113025,-0.0732059
682,-7.318,0.113025,-0.0732059
683,-7.317,0.113025,-0.0732059
684,-7.316,0.113025,-0.0732059
685,-7.315,0.113025,-0.0732059
686,-7.314,0.113025,-0.0732059
687,-7.313,0.113025,-0.0732059
688,-7.312,0.113025,-0.0732059
689,-7.311,0.113025,-0.0732059
690,-7.31,0.113025,-0.0732059
691,-7.309,0.113025,-0.0732059
692,-7.308,0.113025,-0.0732059
693,-7.307,0.113025,-0.0732059
694,-7.306,0.113025,-0.0732059
695,-7.305,0.113025,-0.0732059
696,-7.304,0.113025,-0.0732059
697,-7.303,0.113025,-0.0732059
698,-7.302,0.113025,-0.0732059
699,-7.301,0.113025,-0.0732059
700,-7.3,0.113025,-0.0732059
701,-7.299,0.113025,-0.0732059
702,-7.298,0.113025,-0.0732059
703,-7.297,0.113025,-0.0732059
704,-7.296,0.113025,-0.0732059
705,-7.295,0.113025,-0.0732059
706,-7.294,0.113025,-0.0732059
707,-7.293,0.113025,-0.0732059
708,-7.292,0.113025,-0.0732059
709,-7.291,0.113025,-0.0732059
710,-7.29,0.113025,-0.0732059
711,-7.289,0.113025,-0.0732059
712,-7.288,0.113025,-0.0732059
713,-7.287,0.113025,-0.0732059
714,-7.286,0.113025,-0.0732059
715,-7.285,0.113025,-0.0732059
716,-7.284,0.113025,-0.0732059
717,-7.283,0.113025,-0.0732059
718,-7.282,0.113025,-0.0732059
719,-7.281,0.113025,-0.0732059
720,-7.28,0.113025,-0.0732059
721,-7.279,0.113025,-0.0732059
722,-7.278,0.113025,-0.0732059
723,-7.277,0.113025,-0.0732059
724,-7.276,0.113025,-0.0732059
725,-7.275,0.113025,-0.0732059
726,-7.274,0.113025,-0.0732059
727,-7.273,0.113025,-0.0732059
728,-7.272,0.113025,-0.0732059
729,-7.271,0.113025,-0.0732059
730,-7.27,0.113025,-0.0732059
731,-7.269,0.113025,-0.0732059
