Sample,Time(S),CH1(V)
653,-0.7539,0.425604
654,-0.7538,0.425604
655,-0.7537,0.425604
656,-0.7536,0.423948
657,-0.7535,0.428917
658,-0.7534,0.428917
659,-0.7533,0.428917
660,-0.7532,0.428917
661,-0.7531,0.428917
662,-0.753,0.428917
663,-0.7529,0.428917
664,-0.7528,0.428917
665,-0.7527,0.428917
666,-0.7526,0.428917
667,-0.7525,0.428917
668,-0.7524,0.428917
669,-0.7523,0.428917
670,-0.7522,0.428917
671,-0.7521,0.428917
672,-0.752,0.428917
673,-0.7519,0.428917
674,-0.7518,0.428917
675,-0.7517,0.428917
676,-0.7516,0.428917
677,-0.7515,0.428917
678,-0.7514,0.428917
679,-0.7513,0.428917
680,-0.7512,0.428917
681,-0.7511,0.425604
682,-0.751,0.428917
683,-0.7509,0.430573
684,-0.7508,0.430573
685,-0.7507,0.425604
686,-0.7506,0.428917
687,-0.7505,0.428917
688,-0.7504,0.428917
689,-0.7503,0.428917
690,-0.7502,0.428917
691,-0.7501,0.428917
692,-0.75,0.428917
693,-0.7499,0.428917
694,-0.7498,0.428917
695,-0.7497,0.428917
696,-0.7496,0.428917
697,-0.7495,0.428917
698,-0.7494,0.428917
699,-0.7493,0.428917
700,-0.7492,0.428917
701,-0.7491,0.428917
702,-0.749,0.428917
703,-0.7489,0.428917
704,-0.7488,0.428917
705,-0.7487,0.428917
706,-0.7486,0.428917
707,-0.7485,0.428917
708,-0.7484,0.428917
709,-0.7483,0.428917
710,-0.7482,0.428917
711,-0.7481,0.428917
712,-0.748,0.428917
713,-0.7479,0.428917
714,-0.7478,0.428917
715,-0.7477,0.428917
716,-0.7476,0.428917
717,-0.7475,0.428917
718,-0.7474,0.428917
719,-0.7473,0.428917
720,-0.7472,0.430573
721,-0.7471,0.430573
722,-0.747,0.430573
723,-0.7469,0.430573
724,-0.7468,0.430573
725,-0.7467,0.430573
726,-0.7466,0.430573
727,-0.7465,0.430573
728,-0.7464,0.425604
729,-0.7463,0.428917
730,-0.7462,0.428917
731,-0.7461,0.428917
732,-0.746,0.428917
733,-0.7459,0.428917
734,-0.7458,0.423948
735,-0.7457,0.425604
736,-0.7456,0.425604
737,-0.7455,0.425604
738,-0.7454,0.428917
739,-0.7453,0.428917
740,-0.7452,0.428917
741,-0.7451,0.428917
742,-0.745,0.428917
743,-0.7449,0.428917
744,-0.7448,0.428917
745,-0.7447,0.428917
746,-0.7446,0.428917
747,-0.7445,0.428917
748,-0.7444,0.428917
749,-0.7443,0.428917
750,-0.7442,0.428917
751,-0.7441,0.428917
752,-0.744,0.428917
753,-0.7439,0.428917
754,-0.7438,0.428917
755,-0.7437,0.428917
756,-0.7436,0.428917
757,-0.7435,0.428917
758,-0.7434,0.428917
759,-0.7433,0.428917
760,-0.7432,0.428917
761,-0.7431,0.428917
762,-0.743,0.428917
763,-0.7429,0.428917
764,-0.7428,0.428917
765,-0.7427,0.428917
766,-0.7426,0.428917
767,-0.7425,0.428917
768,-0.7424,0.428917
769,-0.7423,0.428917
770,-0.7422,0.428917
771,-0.7421,0.428917
772,-0.742,0.428917
773,-0.7419,0.428917
774,-0.7418,0.428917
775,-0.7417,0.428917
776,-0.7416,0.428917
777,-0.7415,0.428917
778,-0.7414,0.428917
779,-0.7413,0.428917
780,-0.7412,0.428917
781,-0.7411,0.428917
782,-0.741,0.428917
783,-0.7409,0.428917
784,-0.7408,0.428917
785,-0.7407,0.428917
786,-0.7406,0.428917
787,-0.7405,0.428917
788,-0.7404,0.428917
789,-0.7403,0.428917
790,-0.7402,0.428917
791,-0.7401,0.428917
792,-0.74,0.428917
793,-0.7399,0.428917
794,-0.7398,0.428917
795,-0.7397,0.428917
796,-0.7396,0.428917
797,-0.7395,0.428917
798,-0.7394,0.428917
799,-0.7393,0.425604
800,-0.7392,0.430573
801,-0.7391,0.430573
802,-0.739,0.430573
803,-0.7389,0.430573
804,-0.7388,0.430573
805,-0.7387,0.430573
806,-0.7386,0.430573
807,-0.7385,0.428917
808,-0.7384,0.428917
809,-0.7383,0.428917
810,-0.7382,0.428917
811,-0.7381,0.428917
812,-0.738,0.428917
813,-0.7379,0.428917
814,-0.7378,0.428917
815,-0.7377,0.428917
816,-0.7376,0.428917
817,-0.7375,0.428917
818,-0.7374,0.428917
819,-0.7373,0.428917
820,-0.7372,0.428917
821,-0.7371,0.428917
822,-0.737,0.428917
823,-0.7369,0.428917
824,-0.7368,0.428917
825,-0.7367,0.428917
826,-0.7366,0.428917
827,-0.7365,0.428917
828,-0.7364,0.428917
829,-0.7363,0.428917
830,-0.7362,0.428917
831,-0.7361,0.428917
832,-0.736,0.428917
833,-0.7359,0.428917
834,-0.7358,0.428917
835,-0.7357,0.428917
836,-0.7356,0.428917
837,-0.7355,0.428917
838,-0.7354,0.428917
839,-0.7353,0.428917
840,-0.7352,0.425604
841,-0.7351,0.430573
842,-0.735,0.430573
843,-0.7349,0.430573
844,-0.7348,0.430573
845,-0.7347,0.430573
846,-0.7346,0.430573
847,-0.7345,0.425604
848,-0.7344,0.428917
849,-0.7343,0.428917
850,-0.7342,0.428917
851,-0.7341,0.428917
852,-0.734,0.428917
853,-0.7339,0.428917
854,-0.7338,0.428917
855,-0.7337,0.428917
856,-0.7336,0.428917
857,-0.7335,0.428917
858,-0.7334,0.428917
859,-0.7333,0.428917
860,-0.7332,0.428917
861,-0.7331,0.425604
862,-0.733,0.432229
863,-0.7329,0.428917
864,-0.7328,0.430573
865,-0.7327,0.430573
866,-0.7326,0.430573
867,-0.7325,0.430573
868,-0.7324,0.430573
869,-0.7323,0.425604
870,-0.7322,0.428917
871,-0.7321,0.428917
872,-0.732,0.428917
873,-0.7319,0.428917
874,-0.7318,0.428917
875,-0.7317,0.428917
876,-0.7316,0.428917
877,-0.7315,0.425604
878,-0.7314,0.430573
879,-0.7313,0.430573
880,-0.7312,0.430573
881,-0.7311,0.430573
882,-0.731,0.430573
883,-0.7309,0.430573
884,-0.7308,0.430573
885,-0.7307,0.430573
886,-0.7306,0.430573
887,-0.7305,0.430573
888,-0.7304,0.425604
889,-0.7303,0.428917
890,-0.7302,0.428917
891,-0.7301,0.428917
892,-0.73,0.428917
893,-0.7299,0.428917
894,-0.7298,0.428917
895,-0.7297,0.428917
896,-0.7296,0.428917
897,-0.7295,0.428917
898,-0.7294,0.428917
899,-0.7293,0.428917
900,-0.7292,0.428917
901,-0.7291,0.428917
902,-0.729,0.428917
903,-0.7289,0.428917
904,-0.7288,0.428917
905,-0.7287,0.428917
906,-0.7286,0.428917
907,-0.7285,0.428917
908,-0.7284,0.428917
909,-0.7283,0.428917
910,-0.7282,0.428917
911,-0.7281,0.428917
912,-0.728,0.428917
913,-0.7279,0.428917
914,-0.7278,0.428917
915,-0.7277,0.428917
916,-0.7276,0.428917
917,-0.7275,0.428917
918,-0.7274,0.428917
919,-0.7273,0.425604
920,-0.7272,0.430573
921,-0.7271,0.430573
922,-0.727,0.430573
923,-0.7269,0.430573
924,-0.7268,0.430573
925,-0.7267,0.430573
926,-0.7266,0.430573
927,-0.7265,0.430573
928,-0.7264,0.430573
929,-0.7263,0.430573
930,-0.7262,0.425604
931,-0.7261,0.428917
932,-0.726,0.428917
933,-0.7259,0.428917
934,-0.7258,0.428917
935,-0.7257,0.428917
936,-0.7256,0.428917
937,-0.7255,0.428917
938,-0.7254,0.425604
939,-0.7253,0.430573
940,-0.7252,0.430573
941,-0.7251,0.430573
942,-0.725,0.430573
943,-0.7249,0.430573
944,-0.7248,0.430573
945,-0.7247,0.430573
946,-0.7246,0.430573
947,-0.7245,0.430573
948,-0.7244,0.430573
949,-0.7243,0.430573
950,-0.7242,0.430573
951,-0.7241,0.430573
952,-0.724,0.425604
953,-0.7239,0.428917
954,-0.7238,0.428917
955,-0.7237,0.428917
956,-0.7236,0.428917
957,-0.7235,0.430573
958,-0.7234,0.430573
959,-0.7233,0.430573
960,-0.7232,0.430573
961,-0.7231,0.430573
962,-0.723,0.430573
963,-0.7229,0.430573
964,-0.7228,0.430573
965,-0.7227,0.430573
966,-0.7226,0.430573
967,-0.7225,0.430573
968,-0.7224,0.430573
969,-0.7223,0.430573
970,-0.7222,0.428917
971,-0.7221,0.428917
972,-0.722,0.428917
973,-0.7219,0.428917
974,-0.7218,0.428917
975,-0.7217,0.428917
976,-0.7216,0.428917
977,-0.7215,0.428917
978,-0.7214,0.428917
979,-0.7213,0.428917
980,-0.7212,0.428917
981,-0.7211,0.428917
982,-0.721,0.425604
983,-0.7209,0.430573
984,-0.7208,0.428917
985,-0.7207,0.430573
986,-0.7206,0.430573
987,-0.7205,0.430573
988,-0.7204,0.430573
989,-0.7203,0.430573
990,-0.7202,0.428917
991,-0.7201,0.428917
992,-0.72,0.428917
993,-0.7199,0.428917
994,-0.7198,0.428917
995,-0.7197,0.428917
996,-0.7196,0.428917
997,-0.7195,0.425604
998,-0.7194,0.430573
999,-0.7193,0.430573
1000,-0.7192,0.430573
1001,-0.7191,0.430573
1002,-0.719,0.430573
1003,-0.7189,0.430573
1004,-0.7188,0.430573
1005,-0.7187,0.430573
1006,-0.7186,0.430573
1007,-0.7185,0.430573
1008,-0.7184,0.430573
1009,-0.7183,0.430573
1010,-0.7182,0.430573
1011,-0.7181,0.430573
1012,-0.718,0.430573
1013,-0.7179,0.430573
1014,-0.7178,0.428917
1015,-0.7177,0.425604
1016,-0.7176,0.430573
1017,-0.7175,0.430573
1018,-0.7174,0.430573
1019,-0.7173,0.430573
1020,-0.7172,0.430573
1021,-0.7171,0.430573
1022,-0.717,0.430573
1023,-0.7169,0.430573
1024,-0.7168,0.430573
1025,-0.7167,0.430573
1026,-0.7166,0.430573
1027,-0.7165,0.430573
1028,-0.7164,0.430573
1029,-0.7163,0.430573
1030,-0.7162,0.430573
1031,-0.7161,0.430573
1032,-0.716,0.430573
1033,-0.7159,0.430573
1034,-0.7158,0.430573
1035,-0.7157,0.430573
1036,-0.7156,0.430573
1037,-0.7155,0.430573
1038,-0.7154,0.430573
1039,-0.7153,0.430573
1040,-0.7152,0.430573
1041,-0.7151,0.430573
1042,-0.715,0.430573
1043,-0.7149,0.430573
1044,-0.7148,0.430573
1045,-0.7147,0.430573
1046,-0.7146,0.430573
1047,-0.7145,0.430573
1048,-0.7144,0.430573
1049,-0.7143,0.425604
1050,-0.7142,0.428917
1051,-0.7141,0.428917
1052,-0.714,0.428917
1053,-0.7139,0.428917
1054,-0.7138,0.423948
1055,-0.7137,0.425604
1056,-0.7136,0.425604
1057,-0.7135,0.425604
1058,-0.7134,0.425604
1059,-0.7133,0.425604
1060,-0.7132,0.428917
1061,-0.7131,0.428917
1062,-0.713,0.428917
1063,-0.7129,0.428917
1064,-0.7128,0.428917
1065,-0.7127,0.428917
1066,-0.7126,0.428917
1067,-0.7125,0.428917
1068,-0.7124,0.428917
1069,-0.7123,0.428917
1070,-0.7122,0.428917
1071,-0.7121,0.423948
1072,-0.712,0.428917
1073,-0.7119,0.428917
